date,signups,source,notes
24-Jan-2026,1,organic,
24-Feb-2026,1,,
2026-03-10,1,,
2025-05-09,1,organic,
2026-02-07,1,paid_ads,
07-Jan-2025,1,,
24-Apr-2025,1,waitlist,
2025-01-18,1,waitlist,
2025-11-21,1,organic,
2025-12-07,1,waitlist,
16-Jul-2025,1,organic,
03/03/2025,1,organic,
24/09/2025,1,paid_ads,
2025-11-22,1,waitlist,
03/03/2026,1,referral,
22/01/2026,1,organic,
25/11/2025,1,,duplicate_entry
24-Sep-2025,1,referral,
01-Feb-2025,1,organic,
13/02/2025,1,,
05/12/2025,1,waitlist,
2025-11-11,1,waitlist,
2025-09-04,1,paid_ads,
08-Feb-2026,1,,
2025-12-02,1,paid_ads,
10/03/2026,1,referral,
13-Oct-2025,1,organic,
16/07/2025,1,paid_ads,
12/02/2026,1,waitlist,
17/03/2025,1,organic,
2025-12-15,1,,
2025-11-21,1,paid_ads,
19-Feb-2026,1,waitlist,
17/10/2025,1,waitlist,
10-Jan-2025,1,,
12/09/2025,1,,
25-Oct-2025,1,paid_ads,
07/01/2026,1,waitlist,
06/04/2025,1,organic,
22/02/2026,1,organic,
13-Jun-2025,1,,
2025-09-11,1,organic,
2025-01-14,1,organic,
26/07/2025,1,,
10/03/2026,1,organic,
22-Feb-2026,1,,
12/08/2025,1,waitlist,
17/07/2025,1,referral,
19/04/2025,1,,
06-Aug-2025,1,,
14/01/2026,1,waitlist,
07-May-2025,1,paid_ads,
07/07/2025,1,waitlist,
05-Mar-2025,1,,
15/10/2025,1,referral,
24-Jun-2025,1,referral,
2026-03-22,1,,
2025-12-14,1,referral,
17-Nov-2025,1,referral,
15-Jan-2025,1,paid_ads,
2026-03-02,1,waitlist,
20/02/2026,1,paid_ads,
2025-12-15,1,paid_ads,
18/09/2025,1,referral,
2025-12-05,1,paid_ads,
25/10/2025,1,waitlist,
23/09/2025,1,waitlist,
22-Mar-2025,1,paid_ads,
2025-10-03,1,organic,
2026-01-15,1,organic,
2025-07-23,1,organic,
2025-05-03,1,paid_ads,
21-Jan-2026,1,,
25-Sep-2025,1,,
2025-06-08,1,organic,
27/08/2025,1,referral,
2025-05-26,1,paid_ads,
03-Mar-2026,1,,
12-Jan-2025,1,referral,
2026-03-03,1,paid_ads,
27-Feb-2026,1,,
14-Nov-2025,1,paid_ads,
2025-11-03,1,paid_ads,
09/04/2025,1,paid_ads,
17/02/2025,1,,
2025-06-22,1,paid_ads,
18/04/2025,1,referral,
12/02/2026,1,referral,
05-Feb-2025,1,waitlist,
17/07/2025,1,referral,
21-Jul-2025,1,referral,
15-May-2025,1,waitlist,
2025-09-23,1,paid_ads,
2025-12-15,1,referral,
24-Dec-2025,1,,
2026-01-26,1,,
2026-01-08,1,paid_ads,
03/02/2026,1,,
15/09/2025,1,,
21/12/2025,1,organic,
04-Mar-2025,1,paid_ads,
22-Nov-2025,1,referral,
12/11/2025,1,,
21/02/2026,1,organic,
03-Jun-2025,1,paid_ads,
2026-01-11,1,paid_ads,
01-Nov-2025,1,waitlist,
2025-06-09,1,organic,
2026-01-12,1,paid_ads,
2026-02-24,1,waitlist,duplicate_entry
2026-01-02,1,referral,
08-Mar-2026,1,waitlist,
01-Jun-2025,1,,
2025-04-19,1,,
09-Jan-2026,1,paid_ads,
27-Aug-2025,1,referral,
14-Oct-2025,1,waitlist,
25/09/2025,1,organic,
24-Dec-2025,1,referral,
10/06/2025,1,,
19-May-2025,1,,
18-Feb-2026,1,waitlist,
2025-04-03,1,organic,
01/03/2026,1,organic,
20/01/2026,1,paid_ads,
2026-01-01,1,organic,
19-Jan-2026,1,,
2025-01-05,1,paid_ads,
17-Mar-2026,1,referral,
16/12/2025,1,paid_ads,
15/06/2025,1,paid_ads,
13/01/2026,1,organic,
02-Jan-2026,1,organic,
02/03/2025,1,organic,
2025-08-21,1,organic,
26-Jul-2025,1,,
16/02/2025,1,waitlist,
27/03/2025,1,referral,
2025-01-03,1,organic,
16/02/2026,1,paid_ads,
04-Aug-2025,1,organic,
2025-05-04,1,paid_ads,
2025-11-14,1,referral,
27-May-2025,1,paid_ads,
15-Nov-2025,1,paid_ads,
2025-03-23,1,paid_ads,
2026-02-23,1,paid_ads,
07-Dec-2025,1,paid_ads,
05-Feb-2026,1,organic,
18/06/2025,1,,
2025-07-27,1,paid_ads,
2026-03-16,1,waitlist,
11/07/2025,1,,
26-Dec-2025,1,referral,
04/01/2026,1,waitlist,
07/06/2025,1,organic,
2025-08-12,1,organic,
17/05/2025,1,referral,
15-May-2025,1,paid_ads,
09/08/2025,1,waitlist,duplicate_entry
2026-01-17,1,waitlist,
2026-01-24,1,paid_ads,
08/03/2026,1,organic,
2025-02-02,1,referral,
09/11/2025,1,paid_ads,
08/10/2025,1,paid_ads,
26-Dec-2025,1,paid_ads,
2025-05-25,1,paid_ads,
16-Feb-2026,1,referral,
2025-04-25,1,referral,
25/08/2025,1,,
25/11/2025,1,organic,
16/10/2025,1,waitlist,
19-Jan-2026,1,waitlist,
24-Dec-2025,1,referral,
11/08/2025,1,paid_ads,
2026-03-18,1,,
14-Jan-2026,1,organic,
24/12/2025,1,paid_ads,
2025-09-16,1,organic,
03-Sep-2025,1,organic,
2025-11-15,1,referral,
2025-10-02,1,,
2026-01-17,1,referral,
2026-03-21,1,,
25-Dec-2025,1,referral,
25/01/2026,1,organic,
2025-04-16,1,waitlist,
03-Nov-2025,1,waitlist,
2025-10-22,1,referral,
02/03/2026,1,paid_ads,
27-Jan-2026,1,,
08/11/2025,1,,
2025-09-08,1,paid_ads,
03-Feb-2026,1,,
2025-11-21,1,waitlist,
10-Jun-2025,1,referral,
2025-04-18,1,paid_ads,
2026-01-20,1,,
2026-02-20,1,paid_ads,
2025-06-17,1,waitlist,
2025-11-16,1,waitlist,
22/01/2026,1,waitlist,
10-May-2025,1,referral,
2025-05-25,1,organic,
27/08/2025,1,,
11-Jul-2025,1,waitlist,
25-Nov-2025,1,organic,
19-Nov-2025,1,referral,
18/02/2025,1,paid_ads,
26-Aug-2025,1,organic,
27/08/2025,1,paid_ads,
05-Mar-2025,1,waitlist,
27-Jan-2026,1,paid_ads,duplicate_entry
04-May-2025,1,,
14-Oct-2025,1,paid_ads,
17-Mar-2025,1,referral,
24-Apr-2025,1,waitlist,
09/04/2025,1,referral,
2026-02-20,1,paid_ads,
2025-11-27,1,waitlist,
20/03/2026,1,organic,
03-Dec-2025,1,waitlist,
25/06/2025,1,paid_ads,
2026-02-19,1,paid_ads,
21-Jul-2025,1,organic,
2025-07-25,1,waitlist,
2025-04-11,1,referral,
12-Nov-2025,1,paid_ads,
2025-09-08,1,referral,
2026-03-05,1,referral,
05/11/2025,1,referral,
19/03/2026,1,waitlist,
02-Jan-2025,1,referral,
14/04/2025,1,organic,
10-Jul-2025,1,,
27-Jul-2025,1,paid_ads,
2025-12-05,1,,
05/08/2025,1,referral,
09-Mar-2026,1,organic,
14/01/2026,1,referral,
09/11/2025,1,,
2025-04-10,1,organic,
19-Dec-2025,1,organic,
2025-03-17,1,,
12/02/2026,1,organic,
2025-09-17,1,organic,
20-Sep-2025,1,paid_ads,
16/10/2025,1,organic,
2026-02-13,1,paid_ads,
2025-05-09,1,paid_ads,
15/12/2025,1,paid_ads,
2025-01-12,1,paid_ads,
2025-11-04,1,waitlist,
14-Sep-2025,1,,
08/09/2025,1,,
2025-09-11,1,waitlist,
2025-12-27,1,paid_ads,
22/06/2025,1,paid_ads,
2025-02-14,1,waitlist,duplicate_entry
21-Apr-2025,1,organic,
22-Feb-2025,1,organic,
07/10/2025,1,organic,
13-Feb-2026,1,waitlist,
08/12/2025,1,organic,
2025-04-17,1,organic,
15-Jan-2025,1,paid_ads,
2025-05-19,1,organic,
2026-01-23,1,,
2026-02-06,1,waitlist,
13/11/2025,1,paid_ads,
13/09/2025,1,organic,
19/09/2025,1,waitlist,
07-Dec-2025,1,,
2026-01-05,1,referral,
2025-03-25,1,,
26-Feb-2025,1,waitlist,
02/12/2025,1,referral,
18/07/2025,1,referral,
2025-10-15,1,referral,
10-Dec-2025,1,waitlist,
12-Sep-2025,1,waitlist,
2026-03-07,1,referral,
11-Mar-2026,1,referral,
2026-02-15,1,paid_ads,
14/09/2025,1,organic,
20-Oct-2025,1,,
2026-01-03,1,waitlist,
26-May-2025,1,,duplicate_entry
2025-10-03,1,referral,
2026-01-12,1,referral,
21/02/2026,1,referral,
2025-10-15,1,waitlist,
11-Aug-2025,1,waitlist,
25-Aug-2025,1,waitlist,
04/01/2026,1,,
2025-08-07,1,,
22/02/2026,1,,
23-Mar-2025,1,organic,
2025-08-16,1,,
05/02/2026,1,referral,
2025-11-26,1,paid_ads,
27/05/2025,1,organic,duplicate_entry
2026-02-11,1,,
2025-12-13,1,paid_ads,
23-Oct-2025,1,waitlist,
2025-03-01,1,paid_ads,
2025-10-04,1,referral,
11-Jan-2026,1,,
2025-03-19,1,organic,
19-Feb-2026,1,referral,
2025-07-18,1,organic,
16-Nov-2025,1,waitlist,
15-Feb-2026,1,,
08/03/2026,1,paid_ads,
10/03/2026,1,referral,
24/01/2026,1,referral,
16/11/2025,1,referral,
2025-05-04,1,referral,
19-Aug-2025,1,waitlist,
23/09/2025,1,paid_ads,
2025-10-21,1,paid_ads,
2026-02-20,1,organic,
05/09/2025,1,organic,
26-Oct-2025,1,,
26/09/2025,1,paid_ads,
2026-02-24,1,waitlist,
03/04/2025,1,,
24-Jul-2025,1,waitlist,
07/08/2025,1,paid_ads,
06/01/2026,1,organic,
2026-03-10,1,referral,
2025-02-05,1,,
25-Feb-2026,1,waitlist,
2026-03-09,1,waitlist,
09-Sep-2025,1,,
2025-07-05,1,waitlist,
2025-05-14,1,organic,
26-Dec-2025,1,organic,
26/02/2026,1,organic,
25-Oct-2025,1,paid_ads,
2025-07-07,1,organic,duplicate_entry
11/10/2025,1,paid_ads,
23/11/2025,1,organic,duplicate_entry
22-Feb-2026,1,organic,
06/09/2025,1,organic,
2025-11-23,1,,
2025-08-18,1,waitlist,
13/08/2025,1,referral,
26/02/2025,1,waitlist,
05-Mar-2026,1,,
2025-06-01,1,paid_ads,
10/02/2026,1,waitlist,duplicate_entry
07-Feb-2025,1,paid_ads,
14-Jun-2025,1,referral,
19-Aug-2025,1,organic,
06-Feb-2025,1,referral,
